site_id,site_name,site_type,agency,state,latitude,longitude,first_date_data_available,last_date_data_available,record_count,site_query_url,date_metadata_last_updated,tz_cd,doi,huc8,conus1_i,conus1_j,conus2_i,conus2_j,usda_elevation
301:CA:SNTL,Adin Mtn,SNOTEL station,NRCS,CA,41.23583,-120.79192,1984-10-01,2026-01-24,15091,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,18020002,,,309.0,2086.0,6190.0
907:UT:SNTL,Agua Canyon,SNOTEL station,NRCS,UT,37.52217,-112.27118,1994-10-01,2026-01-24,11439,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,16030002,461.0,569.0,902.0,1525.0,8900.0
916:MT:SNTL,Albro Lake,SNOTEL station,NRCS,MT,45.59723,-111.95902,1996-10-01,2026-01-24,10708,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,10020005,644.0,1444.0,1090.0,2375.0,8300.0
908:WA:SNTL,Alpine Meadows,SNOTEL station,NRCS,WA,47.77957,-121.69847,1994-10-01,2026-01-24,11439,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,17110010,,,453.0,2778.0,3500.0
302:OR:SNTL,Aneroid Lake #2,SNOTEL station,NRCS,OR,45.21328,-117.19258,1982-10-01,2026-01-24,15822,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,17060105,234.0,1485.0,696.0,2421.0,7400.0
1000:OR:SNTL,Annie Springs,SNOTEL station,NRCS,OR,42.87007,-122.16518,2000-09-16,2026-01-24,9239,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,18010203,,,258.0,2286.0,6010.0
303:CO:SNTL,Apishapa,SNOTEL station,NRCS,CO,37.33067,-105.06766,1980-06-10,2026-01-24,16665,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,11020006,1086.0,460.0,1513.0,1415.0,10027.0
1030:CO:SNTL,Arapaho Ridge,SNOTEL station,NRCS,CO,40.35098,-106.38141,2002-08-15,2026-01-24,8564,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,14010001,1009.0,804.0,1438.0,1751.0,10976.0
304:OR:SNTL,Arbuckle Mtn,SNOTEL station,NRCS,OR,45.19085,-119.25392,1978-10-01,2026-01-24,17283,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,17070202,76.0,1522.0,545.0,2459.0,5770.0
305:CO:SNTL,Arrow,SNOTEL station,NRCS,CO,39.9155,-105.76083,1978-10-01,2013-09-30,12784,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,14010001,1056.0,750.0,1484.0,1699.0,9680.0
306:ID:SNTL,Atlanta Summit,SNOTEL station,NRCS,ID,43.7569,-115.23907,1980-10-01,2026-01-24,16552,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,17050111,350.0,1294.0,805.0,2233.0,7580.0
1308:UT:SNTL,Atwater,SNOTEL station,NRCS,UT,40.59124,-111.63775,2022-08-25,2026-01-24,1249,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,MST,,16020204,574.0,893.0,1016.0,1841.0,8753.0
307:MT:SNTL,Badger Pass,SNOTEL station,NRCS,MT,48.13088,-113.02317,1978-10-01,2026-01-24,17283,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,10030201,615.0,1737.0,1066.0,2657.0,6900.0
308:AZ:SNTL,Baker Butte,SNOTEL station,NRCS,AZ,34.45654,-111.40651,1980-10-01,2026-01-24,16552,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,15060203,479.0,222.0,916.0,1183.0,7363.0
1140:AZ:SNTL,Baker Butte Smt,SNOTEL station,NRCS,AZ,34.45552,-111.38262,2009-05-18,2026-01-24,6096,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,15060203,481.0,221.0,918.0,1183.0,7752.0
309:WY:SNTL,Bald Mtn.,SNOTEL station,NRCS,WY,44.8007,-107.84442,1978-10-01,2026-01-24,17283,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,10080010,950.0,1307.0,1384.0,2241.0,9380.0
310:AZ:SNTL,Baldy,SNOTEL station,NRCS,AZ,33.97845,-109.50357,1980-10-01,2026-01-24,16552,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,15020001,643.0,142.0,1077.0,1103.0,9221.0
311:MT:SNTL,Banfield Mountain,SNOTEL station,NRCS,MT,48.5712,-115.44573,1968-10-01,2026-01-24,20935,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,17010101,448.0,1821.0,907.0,2740.0,5600.0
312:ID:SNTL,Banner Summit,SNOTEL station,NRCS,ID,44.30342,-115.23447,1980-10-01,2026-01-24,16552,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,17050120,363.0,1353.0,818.0,2290.0,7040.0
1212:AZ:SNTL,Bar M,SNOTEL station,NRCS,AZ,34.86142,-111.60497,2012-09-06,2026-01-24,4889,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,15060202,469.0,269.0,906.0,1230.0,6397.0
313:MT:SNTL,Barker Lakes,SNOTEL station,NRCS,MT,46.09713,-113.13038,1979-10-01,2026-01-24,16918,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,17010201,565.0,1515.0,1015.0,2445.0,8250.0
314:WY:SNTL,Base Camp,SNOTEL station,NRCS,WY,43.94019,-110.44544,1980-10-01,2026-01-24,16552,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,17040101,732.0,1243.0,1173.0,2180.0,7060.0
315:MT:SNTL,Basin Creek,SNOTEL station,NRCS,MT,45.79737,-112.52047,1980-10-01,2026-01-24,16549,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,17010201,605.0,1474.0,1053.0,2404.0,7180.0
1190:MT:SNTL,Bassoo Peak,SNOTEL station,NRCS,MT,47.85562,-114.75841,2022-07-01,2026-01-24,1304,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,17010212,481.0,1732.0,938.0,2654.0,5150.0
316:NM:SNTL,Bateman,SNOTEL station,NRCS,NM,36.51174,-106.31543,1979-10-01,2026-01-24,16918,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,13020102,967.0,382.0,1396.0,1338.0,9249.0
317:WY:SNTL,Battle Mountain,SNOTEL station,NRCS,WY,41.05402,-107.26674,1985-10-01,2026-01-24,14726,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,14050003,944.0,890.0,1376.0,1835.0,7498.0
318:MT:SNTL,Beagle Springs,SNOTEL station,NRCS,MT,44.47147,-112.98191,1978-10-01,2026-01-24,17283,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,10020001,542.0,1336.0,991.0,2271.0,8850.0
319:ID:SNTL,Bear Basin,SNOTEL station,NRCS,ID,44.95222,-116.14293,1980-10-01,2026-01-24,16552,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,17060210,308.0,1439.0,767.0,2374.0,5350.0
320:ID:SNTL,Bear Canyon,SNOTEL station,NRCS,ID,43.74367,-113.93797,1980-10-01,2026-01-24,16552,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,17040218,452.0,1271.0,903.0,2210.0,7900.0
321:NV:SNTL,Bear Creek,SNOTEL station,NRCS,NV,41.83384,-115.45278,1978-10-01,2026-01-24,17283,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,17050102,288.0,1089.0,741.0,2036.0,8040.0
1166:OR:SNTL,Bear Grass,SNOTEL station,NRCS,OR,44.3253,-122.0938,2011-09-23,2026-01-24,5238,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,17090004,,,311.0,2433.0,4720.0
