site_id,site_name,state,latitude,longitude,elevation_m,temp_bias_c,prec_total_bias_pct
902:AZ:SNTL,Beaver Head,AZ,33.69115,-109.21685,2461.5648,1.1210208955952603,-26.382208912715686
416:AZ:SNTL,Coronado Trail,AZ,33.80418,-109.15352,2565.8064,1.6570902331696655,-25.613273649013045
511:AZ:SNTL,Hannagan Meadows,AZ,33.65352,-109.30877,2751.4296,1.2073953446703525,-18.724535652555637
640:AZ:SNTL,Mormon Mountain,AZ,34.94141,-111.51864,2286.0,3.4964481384381543,-16.32053389667755
705:AZ:SNTL,Promontory,AZ,34.36848,-111.01088,2420.7216000000003,1.9434319118842311,-15.568564781675006
877:AZ:SNTL,Workman Creek,AZ,33.81259,-110.91852,2143.3536,3.718285744296754,-28.33948137224896
463:CA:SNTL,Echo Peak,CA,38.849,-120.0795,2332.6344,-1.0247848664571662,-21.4638077329886
508:CA:SNTL,Hagans Meadow,CA,38.8519,-119.9374,2359.7616000000003,1.3859065121187442,-10.333539050861862
834:CA:SNTL,Truckee #2,CA,39.30087,-120.18407,1983.9432,-1.5124900469440412,-17.08085629921261
848:CA:SNTL,Ward Creek #3,CA,39.13545,-120.21865,2055.876,1.4841132310399483,-19.130031129829707
327:CO:SNTL,Beartown,CO,37.71433,-107.5124,3535.6800000000003,1.132571943262306,-25.0184703176148
938:CO:SNTL,Buckskin Joe,CO,39.30378,-106.11316,3403.3968,-2.0586136493097302,-26.693926188615738
380:CO:SNTL,Butte,CO,38.89435,-106.95327,3108.96,-7.605160044417713,-26.629085984251965
408:CO:SNTL,Columbine,CO,40.39591,-106.60437,2794.1016,1.1958907231708102,-34.91704188976378
409:CO:SNTL,Columbine Pass,CO,38.41819,-108.38313,2795.3208,1.2158350911249076,-23.850961662579053
431:CO:SNTL,Cumbres Trestle,CO,37.01877,-106.45275,3058.668,1.2519508648386215,-76.17561842380323
505:CO:SNTL,Grizzly Peak,CO,39.64646,-105.8694,3395.1672000000003,-1.3304518467431277,-25.942036479617254
547:CO:SNTL,Ivanhoe,CO,39.29228,-106.54907,3212.8968,-1.7829525861286406,-24.061956492726537
935:CO:SNTL,Jackwhacker Gulch,CO,39.57096,-105.80355,3369.2592,-1.3297669157054566,-24.86072440944881
