site_id,site_name,state,latitude,longitude,elevation_m,temp_bias_c,prec_total_bias_pct
861:AZ:SNTL,White Horse Lake,AZ,35.14189,-112.14966,2195.4744,0.7869460518439454,-2.784849307629648
473:CA:SNTL,Fallen Leaf,CA,38.93403,-120.0545,1902.5616,0.2510139034540864,-2.336365919376352
539:CA:SNTL,Independence Camp,CA,39.45269,-120.29367,2127.504,0.3282596633573283,2.4719794909357407
540:CA:SNTL,Independence Creek,CA,39.49001,-120.28226,1961.6928,0.946407924231758,-7.387497017418286
575:CA:SNTL,Leavitt Meadows,CA,38.30367,-119.55111,2193.9504,-0.2544477858435845,-7.357901414360817
587:CA:SNTL,Lobdell Lake,CA,38.43745,-119.36572,2819.0952,0.2261722261769634,-9.223977589339768
724:CA:SNTL,Rubicon #2,CA,38.99927,-120.13139,2322.2712,-0.509616376706708,-4.073443723946234
771:CA:SNTL,Sonora Pass,CA,38.31021,-119.6003,2673.096,-0.336895898924635,8.611316544615608
778:CA:SNTL,Spratt Creek,CA,38.66627,-119.81741,1848.0024,-0.3192817388378771,-0.589570303712043
809:CA:SNTL,Tahoe City Cross,CA,39.17162,-120.15362,2071.7256,0.2077710200578928,9.7119331207017
305:CO:SNTL,Arrow,CO,39.9155,-105.76083,2950.464,-0.2865356363684546,
1041:CO:SNTL,Beaver Ck Village,CO,39.59871,-106.51113,2610.612,0.2241962651041894,
913:CO:SNTL,Buffalo Park,CO,40.22838,-106.5962,2819.0952,0.5527907569540057,9.41823170085803
387:CO:SNTL,Cascade #2,CO,37.65751,-107.80287,2746.8576000000003,-0.1184038501767451,-2.6519807592144367
485:CO:SNTL,Fremont Pass,CO,39.38014,-106.19784,3452.1648,-0.0636273227781363,-3.794408027516413
531:CO:SNTL,Hoosier Pass,CO,39.36092,-106.05999,3539.0328,0.2860469377305187,-8.506411223244983
538:CO:SNTL,Idarado,CO,37.93389,-107.6762,2990.6976,0.1930392509965975,-4.630178231331189
1014:CO:SNTL,Middle Fork Camp,CO,39.79565,-106.02802,2733.7512,0.4992415102100686,-2.2274975869951583
629:CO:SNTL,Mineral Creek,CO,37.84737,-107.72657,3062.0208,0.4302623952209478,1.2435393241214476
669:CO:SNTL,North Lost Trail,CO,39.07818,-107.14388,2809.9512,-0.3162222649620979,-6.7867458593537915
827:CO:SNTL,Trapper Lake,CO,39.99881,-107.23618,2974.5432,0.3290147679274654,0.4525086980406665
895:ID:SNTL,Chocolate Gulch,ID,43.7685,-114.41812,1923.288,0.8140376212374655,-1.663293458509971
423:ID:SNTL,Cozy Cove,ID,44.28846,-115.65508,1645.92,0.2781780775285618,-8.515868900145433
439:ID:SNTL,Deadwood Summit,ID,44.54514,-115.5638,2090.928,-0.5032160487064793,-8.502838669868133
471:ID:SNTL,Emigrant Summit,ID,42.36055,-111.56085,2252.472,-0.3752304962282875,-7.963220311746744
