site_id,site_name,state,latitude,longitude,elevation_m,temp_bias_c,prec_total_bias_pct
308:AZ:SNTL,Baker Butte,AZ,34.45654,-111.40651,2244.2424,0.9866810509020372,-13.66980870337916
310:AZ:SNTL,Baldy,AZ,33.97845,-109.50357,2810.5608,0.7380832829453852,-14.885699576014538
488:AZ:SNTL,Fry,AZ,35.07356,-111.84477,2205.5328,0.8295617463828068,-24.416738141296342
969:AZ:SNTL,Happy Jack,AZ,34.74594,-111.41219,2297.8872,,-18.65234326721817
617:AZ:SNTL,Maverick Fork,AZ,33.92123,-109.45872,2810.2560000000003,0.8167668068949998,-21.115832677165344
927:AZ:SNTL,Snowslide Canyon,AZ,35.34179,-111.65084,2969.9712,0.270759766991781,-36.924898087739024
866:AZ:SNTL,Wildcat,AZ,33.74347,-109.48078,2398.1664,0.7687270473886819,-28.61641457608497
301:CA:SNTL,Adin Mtn,CA,41.23583,-120.79192,1886.712,0.9772246846348666,-16.06820329277021
391:CA:SNTL,Cedar Pass,CA,41.58233,-120.3025,2142.744,0.2167360089194363,-17.126552930883644
977:CA:SNTL,Crowder Flat,CA,41.89318,-120.75202,1575.816,0.0001740913380506,-17.514108804581248
428:CA:SNTL,Css Lab,CA,39.32565,-120.36807,2101.2912,0.8672189574988811,-19.94183445044575
446:CA:SNTL,Dismal Swamp,CA,41.99127,-120.18033,2243.328,0.0655157047115612,-20.60933294364406
462:CA:SNTL,Ebbetts Pass,CA,38.5497,-119.80468,2639.8728,-0.8334753466369639,-11.002506296024734
518:CA:SNTL,Heavenly Valley,CA,38.92431,-119.91641,2601.1632,0.3266709258356393,-24.482028125078617
541:CA:SNTL,Independence Lake,CA,39.42752,-120.31342,2541.4224,0.8380270308835842,-14.856651314812058
574:CA:SNTL,Leavitt Lake,CA,38.27594,-119.61281,2927.2992,-0.3386046332419866,-17.54359324734212
633:CA:SNTL,Monitor Pass,CA,38.6683,-119.6087,2531.6688,0.3680303628116665,-19.367501440368738
784:CA:SNTL,Palisades Tahoe,CA,39.18986,-120.26576,2442.3624,-0.7177735532480565,-19.00021676702176
697:CA:SNTL,Poison Flat,CA,38.50576,-119.62624,2357.9328,0.6953098655822145,-11.30644629326992
846:CA:SNTL,Virginia Lakes Ridge,CA,38.07298,-119.23433,2865.1200000000003,0.2792112195354105,-19.618484251968493
