site_id,site_name,state,latitude,longitude,elevation_m,temp_bias_c,prec_total_bias_pct
519:AZ:SNTL,Heber,AZ,34.31254,-110.75433,2332.9392000000003,8.18487204798845,-9.206707928950738
356:CA:SNTL,Blue Lakes,CA,38.608,-119.92437,2458.8216,1.514192699994315,4.774256387594414
369:CO:SNTL,Brumley,CO,39.08758,-106.54231,3229.0512000000003,1.3370304757326237,9.263711057856892
542:CO:SNTL,Independence Pass,CO,39.07543,-106.61154,3230.2704000000003,1.2239727193445786,-6.163962407924808
586:CO:SNTL,Lizard Head Pass,CO,37.79895,-107.92475,3106.8264000000004,1.708241646908699,-2.7654683881426334
940:CO:SNTL,Lost Dog,CO,40.81557,-106.74833,2842.8696,-2.3857223397973675,4.21176112076901
658:CO:SNTL,Nast Lake,CO,39.29695,-106.60786,2661.2088000000003,1.397456834483494,-0.3552702131745638
489:ID:SNTL,Galena,ID,43.87722,-114.6725,2276.856,1.2384050252614385,5.55554673609349
601:ID:SNTL,Lost-Wood Divide,ID,43.82432,-114.26402,2407.92,1.1035778808790184,-7.339096151713408
740:ID:SNTL,Secesh Summit,ID,45.18848,-115.97152,1993.392,-1.0410966440315703,-2.0283988188976236
344:OR:SNTL,Billie Creek Divide,OR,42.40717,-122.26617,1609.344,1.3733895016872482,-4.722646286861201
357:OR:SNTL,Blue Mountain Spring,OR,44.24767,-118.51722,1789.1760000000002,1.0206841989595006,0.434618534221693
398:OR:SNTL,Clackamas Lake,OR,45.09658,-121.75443,1036.3200000000002,1.013926747061607,-4.216584017423345
464:OR:SNTL,Eilertson Meadows,OR,44.86887,-118.11387,1679.448,1.318909501829235,-8.06072337111706
552:OR:SNTL,Jump Off Joe,OR,44.38605,-122.16683,1072.896,1.1091935591517668,5.052645209799712
614:OR:SNTL,Marion Forks,OR,44.59397,-121.97365,789.432,1.4863515977819857,1.97060420554368
478:WA:SNTL,Fish Lake,WA,47.53565,-121.08553,1045.464,2.5533719373844086,5.996807703253981
681:WA:SNTL,Park Creek Ridge,WA,48.44488,-120.91551,1402.0800000000002,1.9179699818516205,7.1579769371439035
728:WA:SNTL,Salmon Meadows,WA,48.65518,-119.8383,1359.408,1.7662845856891252,-0.1604114808229667
791:WA:SNTL,Stevens Pass,WA,47.74607,-121.09288,1203.96,1.1448590664752476,-4.067222974679179
1012:WA:SNTL,Swift Creek,WA,46.1638,-122.18402,1353.312,-2.983487849521498,-3.08722731746598
1045:WY:SNTL,Crow Creek,WY,41.22824,-105.38571,2540.5080000000003,1.0705679840191191,
